Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
269,Storm Boy,"$4,266,224","$71,760",1.7%,"$4,194,464",98.3%,2018.csv,2018
270,"Don't Worry, He Won't Get Far on Foot","$4,241,656","$1,441,705",34%,"$2,799,951",66%,2018.csv,2018
271,Ghost Stories,"$4,131,358","$148,747",3.6%,"$3,982,611",96.4%,2018.csv,2018
272,The Fall of the American Empire,"$4,110,928","$2,178,460",53%,"$1,932,468",47%,2018.csv,2018
273,American Animals,"$4,080,073","$2,856,954",70%,"$1,223,119",30%,2018.csv,2018
274,Penguin Highway,"$4,006,647","$104,567",2.6%,"$3,902,080",97.4%,2018.csv,2018
275,A Private War,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%,2018.csv,2018
276,First Reformed,"$3,862,498","$3,448,256",89.3%,"$414,242",10.7%,2018.csv,2018
277,Custody,"$3,790,303","$83,882",2.2%,"$3,706,421",97.8%,2018.csv,2018
278,Night of 7 Years,"$3,716,820","$24,281",0.7%,"$3,692,539",99.3%,2018.csv,2018
279,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893","$3,679,893",100%,-,-,2018.csv,2018
280,Non-Fiction,"$3,648,552","$704,919",19.3%,"$2,943,633",80.7%,2018.csv,2018
281,Indivisible,"$3,589,633","$3,511,417",97.8%,"$78,216",2.2%,2018.csv,2018
282,The Apparition,"$3,562,793","$28,293",0.8%,"$3,534,500",99.2%,2018.csv,2018
283,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777",99.9%,"$2,346",<0.1%,2018.csv,2018
284,The Metropolitan Opera HD Live: Puccini: Tosca,"$3,473,616","$2,023,749",58.3%,"$1,449,867",41.7%,2018.csv,2018
285,Racetime,"$3,439,053","$1,875,283",54.5%,"$1,563,770",45.5%,2018.csv,2018
286,The Rider,"$3,434,963","$2,419,031",70.4%,"$1,015,932",29.6%,2018.csv,2018
287,Patrick the Pug,"$3,369,468","$6,290",0.2%,"$3,363,178",99.8%,2018.csv,2018
288,On Chesil Beach,"$3,335,913","$745,971",22.4%,"$2,589,942",77.6%,2018.csv,2018
289,Breath,"$3,322,479","$37,108",1.1%,"$3,285,371",98.9%,2018.csv,2018
290,Wildlife,"$3,321,367","$1,050,616",31.6%,"$2,270,751",68.4%,2018.csv,2018
291,The House That Jack Built,"$3,297,010","$170,113",5.2%,"$3,126,897",94.8%,2018.csv,2018
292,Bharath Ane Nenu,"$3,276,257","$2,663,090",81.3%,"$613,167",18.7%,2018.csv,2018
293,The Front Runner,"$3,242,235","$2,000,105",61.7%,"$1,242,130",38.3%,2018.csv,2018
294,Thoroughbreds,"$3,187,255","$3,072,605",96.4%,"$114,650",3.6%,2018.csv,2018
295,Tea With the Dames,"$3,181,152","$889,343",28%,"$2,291,809",72%,2018.csv,2018
296,Made for More,"$2,999,134","$2,999,134",100%,-,-,2018.csv,2018
297,Memoir of War,"$2,980,982","$103,636",3.5%,"$2,877,346",96.5%,2018.csv,2018
298,God Bless the Broken Road,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%,2018.csv,2018
299,Hold Your Breath,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%,2018.csv,2018
300,McQueen,"$2,739,246","$1,257,275",45.9%,"$1,481,971",54.1%,2018.csv,2018
301,Edie,"$2,731,170","$71,790",2.6%,"$2,659,380",97.4%,2018.csv,2018
302,Billionaire Boys Club,"$2,713,955","$1,349",<0.1%,"$2,712,606",100%,2018.csv,2018
303,The Happy Prince,"$2,621,992","$466,440",17.8%,"$2,155,552",82.2%,2018.csv,2018
304,The Little Mermaid,"$2,610,742","$147,175",5.6%,"$2,463,567",94.4%,2018.csv,2018
305,Zero,"$2,595,762","$1,035,388",39.9%,"$1,560,374",60.1%,2018.csv,2018
306,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%,2018.csv,2018
307,Assassination Nation,"$2,584,988","$2,005,142",77.6%,"$579,846",22.4%,2018.csv,2018
308,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539",0.7%,"$2,551,388",99.3%,2018.csv,2018
309,Birds of Passage,"$2,517,349","$507,259",20.2%,"$2,010,090",79.8%,2018.csv,2018
310,"One Nation, One King","$2,481,681","$6,576",0.3%,"$2,475,105",99.7%,2018.csv,2018
311,Lean on Pete,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%,2018.csv,2018
312,The Breadwinner 2018 Re-release,"$2,426,907",$834,<0.1%,"$2,426,073",100%,2018.csv,2018
313,Hearts Beat Loud,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%,2018.csv,2018
314,The Man Who Killed Don Quixote,"$2,390,383","$391,963",16.4%,"$1,998,420",83.6%,2018.csv,2018
315,1991,"$2,342,264","$2,342,264",100%,-,-,2018.csv,2018
316,The House That Jack Built 2018 Re-release,"$2,268,855","$87,993",3.9%,"$2,180,862",96.1%,2018.csv,2018
317,Puzzle,"$2,260,946","$2,032,018",89.9%,"$228,928",10.1%,2018.csv,2018
318,An Interview with God,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%,2018.csv,2018
319,At War,"$2,235,052","$4,605",0.2%,"$2,230,447",99.8%,2018.csv,2018
320,3 Faces,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%,2018.csv,2018
321,Maria By Callas 2018 Re-release,"$2,185,562","$1,267,301",58%,"$918,261",42%,2018.csv,2018
322,Border,"$2,177,678","$771,930",35.4%,"$1,405,748",64.6%,2018.csv,2018
323,Veere Di Wedding,"$2,176,099",-,-,"$2,176,099",100%,2018.csv,2018
324,High Life,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%,2018.csv,2018
325,Indian Horse,"$2,097,362","$2,097,362",100%,-,-,2018.csv,2018
326,Mary Shelley,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%,2018.csv,2018
327,Black '47,"$2,073,063","$57,520",2.8%,"$2,015,543",97.2%,2018.csv,2018
328,Under the Silver Lake,"$2,053,469","$46,083",2.2%,"$2,007,386",97.8%,2018.csv,2018
329,Raid,"$2,031,135","$1,010,385",49.7%,"$1,020,750",50.3%,2018.csv,2018
330,Climax,"$2,027,391","$817,339",40.3%,"$1,210,052",59.7%,2018.csv,2018
331,Peterloo,"$1,998,945","$151,971",7.6%,"$1,846,974",92.4%,2018.csv,2018
332,The Metropolitan Opera HD Live: Verdi: La Traviata,"$1,982,588","$1,882,931",95%,"$99,657",5%,2018.csv,2018
333,Maquia: When the Promised Flower Blooms,"$1,979,604","$185,699",9.4%,"$1,793,905",90.6%,2018.csv,2018
334,The Pact,"$1,855,647","$2,488",0.1%,"$1,853,159",99.9%,2018.csv,2018
335,Sweet Country,"$1,847,693","$104,297",5.6%,"$1,743,396",94.4%,2018.csv,2018
336,The Little Stranger,"$1,824,902","$713,143",39.1%,"$1,111,759",60.9%,2018.csv,2018
337,The Seagull,"$1,820,461","$1,252,960",68.8%,"$567,501",31.2%,2018.csv,2018
338,Moses,"$1,807,117","$1,807,117",100%,-,-,2018.csv,2018
339,The Metropolitan Opera HD Live: Puccini: La Bohème,"$1,764,201","$1,764,201",100%,-,-,2018.csv,2018
340,The Metropolitan Opera HD Live: Massenet: Cendrillon,"$1,747,259","$1,243,306",71.2%,"$503,953",28.8%,2018.csv,2018
341,Beast,"$1,744,071","$800,365",45.9%,"$943,706",54.1%,2018.csv,2018
342,A Faithful Man,"$1,720,605","$77,491",4.5%,"$1,643,114",95.5%,2018.csv,2018
343,Grease 2018 Re-release,"$1,710,727","$1,213,413",70.9%,"$497,314",29.1%,2018.csv,2018
344,The Wild Pear Tree,"$1,696,258","$34,014",2%,"$1,662,244",98%,2018.csv,2018
345,Sorry Angel,"$1,636,273","$30,628",1.9%,"$1,605,645",98.1%,2018.csv,2018
346,I Still See You,"$1,620,637","$1,359",<0.1%,"$1,619,278",99.9%,2018.csv,2018
347,The Metropolitan Opera HD Live: Verdi: Aida,"$1,595,902","$1,595,902",100%,-,-,2018.csv,2018
348,Made in India,"$1,594,164","$790,628",49.6%,"$803,536",50.4%,2018.csv,2018
349,Yardie,"$1,551,163","$36,012",2.3%,"$1,515,151",97.7%,2018.csv,2018
350,Mystery Train,"$1,544,973","$1,541,218",99.8%,"$3,755",0.2%,2018.csv,2018
351,Kedarnath,"$1,538,846","$901,131",58.6%,"$637,715",41.4%,2018.csv,2018
352,Princess Mononoke 2018 Re-release,"$1,519,321","$1,423,877",93.7%,"$95,444",6.3%,2018.csv,2018
353,The Miseducation of Cameron Post,"$1,451,729","$904,703",62.3%,"$547,026",37.7%,2018.csv,2018
354,The Dawn Wall 2018 Re-release,"$1,442,013","$970,032",67.3%,"$471,981",32.7%,2018.csv,2018
355,Vox Lux,"$1,399,272","$727,119",52%,"$672,153",48%,2018.csv,2018
356,Sometimes Always Never,"$1,377,856",-,-,"$1,377,856",100%,2018.csv,2018
357,Swimming with Men,"$1,377,748","$24,708",1.8%,"$1,353,040",98.2%,2018.csv,2018
358,Little Italy,"$1,362,536","$990,230",72.7%,"$372,306",27.3%,2018.csv,2018
359,Foxtrot,"$1,356,159","$618,883",45.6%,"$737,276",54.4%,2018.csv,2018
360,Mandy,"$1,335,484","$1,214,525",90.9%,"$120,959",9.1%,2018.csv,2018
361,The Metropolitan Opera HD Live: Rossini: Semiramide,"$1,332,900","$1,033,651",77.5%,"$299,249",22.5%,2018.csv,2018
362,The Metropolitan Opera HD Live: Mozart: Così fan tutte,"$1,302,949","$1,302,949",100%,-,-,2018.csv,2018
363,The Cakemaker,"$1,287,568","$875,751",68%,"$411,817",32%,2018.csv,2018
364,Shed Skin Papa,"$1,278,065","$13,331",1%,"$1,264,734",99%,2018.csv,2018
365,Yellow Submarine,"$1,273,261","$992,305",77.9%,"$280,956",22.1%,2018.csv,2018
366,Beautifully Broken,"$1,271,572","$1,209,645",95.1%,"$61,927",4.9%,2018.csv,2018
367,Guy,"$1,257,937","$1,319",0.1%,"$1,256,618",99.9%,2018.csv,2018
368,The Captain,"$1,196,669","$109,226",9.1%,"$1,087,443",90.9%,2018.csv,2018
369,The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,"$1,195,758","$1,195,758",100%,-,-,2018.csv,2018
370,The Metropolitan Opera HD Live: Verdi: Luisa Miller,"$1,166,858","$1,166,858",100%,-,-,2018.csv,2018
371,Elliot the Littlest Reindeer 2018 Re-release,"$1,142,187","$24,262",2.1%,"$1,117,925",97.9%,2018.csv,2018
372,Roma,"$1,140,769",-,-,"$1,140,769",100%,2018.csv,2018
373,Look Away,"$1,119,537",-,-,"$1,119,537",100%,2018.csv,2018
374,The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,"$1,115,018","$1,115,018",100%,-,-,2018.csv,2018
375,Sunset,"$1,083,299","$164,906",15.2%,"$918,393",84.8%,2018.csv,2018
376,The Dark Crystal 2018 Re-release,"$1,036,956","$1,036,956",100%,-,-,2018.csv,2018
377,The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,"$1,023,233","$1,023,233",100%,-,-,2018.csv,2018
378,Husband Material,"$1,016,545","$567,417",55.8%,"$449,128",44.2%,2018.csv,2018
379,Elvis: The Comeback Special,"$1,010,657","$1,010,657",100%,-,-,2018.csv,2018
380,National Theatre Live: Antony & Cleopatra,"$998,079","$83,672",8.4%,"$914,407",91.6%,2018.csv,2018
381,Labyrinth 2018 Re-release,"$993,336","$993,336",100%,-,-,2018.csv,2018
382,Transit,"$982,372","$815,290",83%,"$167,082",17%,2018.csv,2018
383,Schindler's List 2018 Re-release,"$981,489","$833,050",84.9%,"$148,439",15.1%,2018.csv,2018
384,Journey's End,"$970,809","$161,796",16.7%,"$809,013",83.3%,2018.csv,2018
385,Ryuichi Sakamoto: Coda,"$960,212","$117,460",12.2%,"$842,752",87.8%,2018.csv,2018
386,A Prayer Before Dawn,"$958,883","$14,453",1.5%,"$944,430",98.5%,2018.csv,2018
387,The Endless,"$956,425","$272,020",28.4%,"$684,405",71.6%,2018.csv,2018
388,The Catcher Was a Spy,"$953,953","$725,223",76%,"$228,730",24%,2018.csv,2018
389,Becoming Astrid,"$938,766","$120,486",12.8%,"$818,280",87.2%,2018.csv,2018
390,White Christmas 2018 Re-release,"$928,298","$928,298",100%,-,-,2018.csv,2018
391,Like Arrows,"$928,265","$817,990",88.1%,"$110,275",11.9%,2018.csv,2018
392,Kirk Cameron: Connect,"$918,127","$918,127",100%,-,-,2018.csv,2018
393,The Lodgers,"$916,727","$7,362",0.8%,"$909,365",99.2%,2018.csv,2018
394,Revenge,"$913,331","$102,091",11.2%,"$811,240",88.8%,2018.csv,2018
395,Kings,"$910,269","$274,635",30.2%,"$635,634",69.8%,2018.csv,2018
396,The Metropolitan Opera HD Live: Nico Muhly: Marnie,"$865,551","$849,710",98.2%,"$15,841",1.8%,2018.csv,2018
397,Lizzie,"$844,786","$642,157",76%,"$202,629",24%,2018.csv,2018
398,BANDSTAND: The Broadway Musical on Screen,"$839,554","$839,554",100%,-,-,2018.csv,2018
399,The Heiresses,"$811,196","$78,473",9.7%,"$732,723",90.3%,2018.csv,2018
400,Mrs. Hyde,"$778,142","$18,627",2.4%,"$759,515",97.6%,2018.csv,2018
401,The Invisibles,"$764,250","$407,373",53.3%,"$356,877",46.7%,2018.csv,2018
402,Pick of the Litter,"$763,688","$578,717",75.8%,"$184,971",24.2%,2018.csv,2018
403,Museo,"$759,626","$148,505",19.5%,"$611,121",80.5%,2018.csv,2018
404,Boundaries,"$755,977","$703,438",93.1%,"$52,539",6.9%,2018.csv,2018
405,Ramen Shop,"$734,347","$88,455",12%,"$645,892",88%,2018.csv,2018
406,The Polar Express 2018 Re-release,"$731,018","$731,018",100%,-,-,2018.csv,2018
407,Slaughterhouse Rulez,"$730,762","$4,665",0.6%,"$726,097",99.4%,2018.csv,2018
408,Liz and the Blue Bird,"$726,454","$63,204",8.7%,"$663,250",91.3%,2018.csv,2018
409,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875","$707,875",100%,-,-,2018.csv,2018
410,Itzhak,"$704,968","$607,290",86.1%,"$97,678",13.9%,2018.csv,2018
411,Blaze,"$704,955","$704,955",100%,-,-,2018.csv,2018
412,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130","$695,130",100%,-,-,2018.csv,2018
413,In the Aisles,"$694,586","$28,394",4.1%,"$666,192",95.9%,2018.csv,2018
414,The Trump Prophecy,"$671,198","$671,198",100%,-,-,2018.csv,2018
415,Anna and the Apocalypse,"$670,430","$545,597",81.4%,"$124,833",18.6%,2018.csv,2018
416,Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982","$658,982",100%,-,-,2018.csv,2018
417,Ponyo 2018 Re-release,"$653,072","$653,072",100%,-,-,2018.csv,2018
418,Batti Gul Meter Chalu,"$635,869","$249,539",39.2%,"$386,330",60.8%,2018.csv,2018
419,"Love, Gilda","$626,318","$626,318",100%,-,-,2018.csv,2018
420,The Sound of Music 2018 Re-release,"$624,392","$616,171",98.7%,"$8,221",1.3%,2018.csv,2018
421,Die Hard 30th Anniversary Release,"$620,525","$510,241",82.2%,"$110,284",17.8%,2018.csv,2018
422,The Transformers,"$619,597","$619,597",100%,-,-,2018.csv,2018
423,The Reports on Sarah and Saleem,"$607,206","$117,479",19.3%,"$489,727",80.7%,2018.csv,2018
424,The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,"$605,764","$605,764",100%,-,-,2018.csv,2018
425,"DCI 2019: Big, Loud & Live 16","$603,320","$603,320",100%,-,-,2018.csv,2018
426,Oh Lucy!,"$600,145","$375,391",62.6%,"$224,754",37.4%,2018.csv,2018
427,The Big Lebowski 2018 Re-release,"$592,832","$582,585",98.3%,"$10,247",1.7%,2018.csv,2018
428,Bilal: A New Breed of Hero 2018 Re-release,"$576,805","$490,973",85.1%,"$85,832",14.9%,2018.csv,2018
429,The Cat Returns 2018 Re-release,"$563,718","$563,718",100%,-,-,2018.csv,2018
430,Beetlejuice 2018 Re-release,"$562,613","$512,947",91.2%,"$49,666",8.8%,2018.csv,2018
431,Kusama: Infinity,"$558,052","$360,931",64.7%,"$197,121",35.3%,2018.csv,2018
432,Castle in the Sky 2018 Re-release,"$557,541","$523,664",93.9%,"$33,877",6.1%,2018.csv,2018
433,Rojo,"$557,092","$94,757",17%,"$462,335",83%,2018.csv,2018
434,Dhadak,"$549,628",-,-,"$549,628",100%,2018.csv,2018
435,My Generation,"$546,183",-,-,"$546,183",100%,2018.csv,2018
436,He's Out There,"$544,674",-,-,"$544,674",100%,2018.csv,2018
437,Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,"$540,707","$540,707",100%,-,-,2018.csv,2018
438,Karwaan,"$536,525","$182,009",33.9%,"$354,516",66.1%,2018.csv,2018
439,What They Had,"$533,579","$260,136",48.8%,"$273,443",51.2%,2018.csv,2018
440,Grave of the Fireflies,"$516,962","$516,962",100%,-,-,2018.csv,2018
441,The Sandlot 2018 Re-release,"$516,130","$516,130",100%,-,-,2018.csv,2018
442,Bullitt 2018 Re-release,"$511,350","$511,350",100%,-,-,2018.csv,2018
443,Monsters and Men,"$510,967","$500,101",97.9%,"$10,866",2.1%,2018.csv,2018
444,Have a Nice Day,"$504,003","$79,393",15.8%,"$424,610",84.2%,2018.csv,2018
445,London Fields,"$487,420","$252,676",51.8%,"$234,744",48.2%,2018.csv,2018
446,Matangi/Maya/M.I.A,"$469,489","$230,808",49.2%,"$238,681",50.8%,2018.csv,2018
447,Puffs: Filmed Live Off Broadway,"$464,483","$464,483",100%,-,-,2018.csv,2018
448,MFKZ,"$461,724","$229,423",49.7%,"$232,301",50.3%,2018.csv,2018
449,Scotty and the Secret History of Hollywood,"$461,689","$461,689",100%,-,-,2018.csv,2018
450,South Pacific 2018 Re-release,"$458,000","$458,000",100%,-,-,2018.csv,2018
451,The Gospel According to André,"$454,550","$400,713",88.2%,"$53,837",11.8%,2018.csv,2018
452,Leaning Into The Wind,"$452,372","$400,530",88.5%,"$51,842",11.5%,2018.csv,2018
453,Porco Rosso 2018 Re-release,"$443,059","$443,059",100%,-,-,2018.csv,2018
454,Elf 2018 Re-release,"$442,073","$442,073",100%,-,-,2018.csv,2018
455,We the Animals,"$434,743","$400,961",92.2%,"$33,782",7.8%,2018.csv,2018
456,DCI 2018 Tour Premeire,"$434,008","$434,008",100%,-,-,2018.csv,2018
457,The Sower,"$433,112","$36,233",8.4%,"$396,879",91.6%,2018.csv,2018
458,Andy Irons: Kissed by God,"$430,393","$285,933",66.4%,"$144,460",33.6%,2018.csv,2018
459,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,"$422,760","$413,039",97.7%,"$9,721",2.3%,2018.csv,2018
460,Frankenstein 2018 Re-release,"$417,783","$417,783",100%,-,-,2018.csv,2018
461,Happy Phirr Bhag Jayegi,"$417,669","$103,385",24.8%,"$314,284",75.2%,2018.csv,2018
462,Status Update,"$416,178","$4,764",1.1%,"$411,414",98.9%,2018.csv,2018
463,Vertigo 2018 Re-release,"$408,560","$394,212",96.5%,"$14,348",3.5%,2018.csv,2018
464,Please Stand By,"$406,732","$9,868",2.4%,"$396,864",97.6%,2018.csv,2018
465,The Philadelphia Story 2018 Re-release,"$404,524","$404,524",100%,-,-,2018.csv,2018
466,The Oath,"$401,463","$401,463",100%,-,-,2018.csv,2018
467,West Side Story 2018 Re-release,"$398,670","$398,670",100%,-,-,2018.csv,2018
468,Space Mutiny,"$397,887","$397,887",100%,-,-,2018.csv,2018
469,Krull 2018 Re-release,"$397,157","$397,157",100%,-,-,2018.csv,2018
470,The Escape,"$390,881","$14,018",3.6%,"$376,863",96.4%,2018.csv,2018
471,"Westwood: Punk, Icon, Activist","$386,856","$58,979",15.2%,"$327,877",84.8%,2018.csv,2018
472,How To Talk To Girls at Parties,"$385,733","$84,809",22%,"$300,924",78%,2018.csv,2018
473,Flower,"$380,553","$328,188",86.2%,"$52,365",13.8%,2018.csv,2018
474,Jane and Emma,"$380,030","$380,030",100%,-,-,2018.csv,2018
475,Daughter of Mine,"$379,010","$10,628",2.8%,"$368,382",97.2%,2018.csv,2018
476,Attack on Titan: Smoke Signal,"$377,334","$377,334",100%,-,-,2018.csv,2018
477,The Dark Knight 2018 Re-release,"$375,589","$375,589",100%,-,-,2018.csv,2018
478,Jurassic Park 2018 Re-release,"$374,238","$374,238",100%,-,-,2018.csv,2018
479,Pom Poko 2018 Re-release,"$372,405","$372,405",100%,-,-,2018.csv,2018
480,"Ruben Brandt, Collector 2018 Re-release","$369,809","$117,963",31.9%,"$251,846",68.1%,2018.csv,2018
481,The Wizard of Oz 2018 Re-release,"$351,839","$351,839",100%,-,-,2018.csv,2018
482,Bel Canto,"$350,264","$125,569",35.8%,"$224,695",64.2%,2018.csv,2018
483,Suicide the Ripple Effect,"$347,468","$347,468",100%,-,-,2018.csv,2018
484,Nureyev: Lifting the Curtain,"$342,255","$165,203",48.3%,"$177,052",51.7%,2018.csv,2018
485,Knife + Heart,"$341,847","$32,516",9.5%,"$309,331",90.5%,2018.csv,2018
486,Bolshoi Ballet: Swan Lake,"$341,058","$88,905",26.1%,"$252,153",73.9%,2018.csv,2018
487,Silencio,"$338,596","$158,723",46.9%,"$179,873",53.1%,2018.csv,2018
488,Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,"$335,697","$335,697",100%,-,-,2018.csv,2018
489,Russ Taff: I Still Believe,"$334,983","$334,983",100%,-,-,2018.csv,2018
490,Shine,"$333,388","$333,388",100%,-,-,2018.csv,2018
491,The Opera House,"$325,235","$320,079",98.4%,"$5,156",1.6%,2018.csv,2018
492,Teefa In Trouble,"$324,633",-,-,"$324,633",100%,2018.csv,2018
493,The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928","$323,928",100%,-,-,2018.csv,2018
494,The Cured,"$323,776","$26,630",8.2%,"$297,146",91.8%,2018.csv,2018
495,Damsel,"$323,235","$305,136",94.4%,"$18,099",5.6%,2018.csv,2018
496,Sauvage / Wild,"$317,536","$61,604",19.4%,"$255,932",80.6%,2018.csv,2018
497,The Riot and the Dance,"$316,103","$316,103",100%,-,-,2018.csv,2018
498,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088","$313,088",100%,-,-,2018.csv,2018
499,MET Opera: Magic Flute,"$307,686","$307,686",100%,-,-,2018.csv,2018
500,The Mercy 2018 Re-release,"$306,205","$29,538",9.6%,"$276,667",90.4%,2018.csv,2018
501,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482","$304,482",100%,-,-,2018.csv,2018
502,The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681","$302,681",100%,-,-,2018.csv,2018
503,Sunset Blvd. 2018 Re-release,"$299,645","$299,645",100%,-,-,2018.csv,2018
504,Harry Potter and the Sorcerer's Stone 2018 Re-release,"$295,917","$295,917",100%,-,-,2018.csv,2018
505,Okko's Inn,"$293,385","$134,787",45.9%,"$158,598",54.1%,2018.csv,2018
506,More Than Funny,"$290,498","$290,498",100%,-,-,2018.csv,2018
507,Best F(r)iends: Volume 1,"$290,064","$252,410",87%,"$37,654",13%,2018.csv,2018
508,The Silence of Others,"$289,455","$67,986",23.5%,"$221,469",76.5%,2018.csv,2018
509,Generation Wealth,"$287,709","$237,709",82.6%,"$50,000",17.4%,2018.csv,2018
510,Skate Kitchen,"$287,307","$236,799",82.4%,"$50,508",17.6%,2018.csv,2018
511,Time Freak,"$285,416","$10,003",3.5%,"$275,413",96.5%,2018.csv,2018
512,But Deliver Us from Evil,"$285,169","$285,169",100%,-,-,2018.csv,2018
513,Disney's Newsies: The Broadway Musical! 2018 Re-release,"$282,429","$282,429",100%,-,-,2018.csv,2018
514,Namaste England,"$279,934","$104,156",37.2%,"$175,778",62.8%,2018.csv,2018
515,Wonders of the Sea,"$279,415","$100,780",36.1%,"$178,635",63.9%,2018.csv,2018
516,Science Fair,"$277,338","$276,195",99.6%,"$1,143",0.4%,2018.csv,2018
517,The King,"$273,601","$259,291",94.8%,"$14,310",5.2%,2018.csv,2018
518,The World Before Your Feet,"$268,644","$268,644",100%,-,-,2018.csv,2018
519,Doctor Who,"$264,629","$264,629",100%,-,-,2018.csv,2018
520,The Producers 2018 Re-release,"$263,277","$216,807",82.3%,"$46,470",17.7%,2018.csv,2018
521,The Final Year,"$262,286","$191,900",73.2%,"$70,386",26.8%,2018.csv,2018
522,Eating You Alive,"$260,534","$260,534",100%,-,-,2018.csv,2018
523,Across the Universe 2018 Re-release,"$258,618","$258,618",100%,-,-,2018.csv,2018
524,Big 2018 Re-release,"$258,507","$258,507",100%,-,-,2018.csv,2018
525,Helicopter Eela,"$256,952","$71,971",28%,"$184,981",72%,2018.csv,2018
526,Hot Summer Nights,"$246,133",-,-,"$246,133",100%,2018.csv,2018
527,Harry Potter and the Chamber of Secrets 2018 Re-release,"$245,501","$245,501",100%,-,-,2018.csv,2018
528,The Fireflies Are Gone,"$245,006","$245,006",100%,-,-,2018.csv,2018
529,Dark River,"$239,182","$7,714",3.2%,"$231,468",96.8%,2018.csv,2018
530,RWBY: Argus Limited,"$238,379","$238,379",100%,-,-,2018.csv,2018
531,Alien Intrusion: Unmasking a Deception,"$237,411","$237,411",100%,-,-,2018.csv,2018
532,Diamantino,"$235,041","$70,088",29.8%,"$164,953",70.2%,2018.csv,2018
533,Superman 2018 Re-release,"$233,585","$233,585",100%,-,-,2018.csv,2018
534,Bishôjo senshi Sailor Moon Super S Special,"$231,434","$231,434",100%,-,-,2018.csv,2018
535,"Belle and Sebastian, Friends for Life 2018 Re-release","$229,983","$105,890",46%,"$124,093",54%,2018.csv,2018
536,Studio 54,"$227,062","$199,767",88%,"$27,295",12%,2018.csv,2018
537,BuyBust,"$223,720","$178,471",79.8%,"$45,249",20.2%,2018.csv,2018
538,Little Pink House,"$220,948","$220,948",100%,-,-,2018.csv,2018
539,The Metropolitan Opera HD Live: Puccini: Turandot,"$219,619","$172,627",78.6%,"$46,992",21.4%,2018.csv,2018
540,Fragments of Truth,"$219,342","$219,342",100%,-,-,2018.csv,2018
541,Harry Potter and the Prisoner of Azkaban 2018 Re-release,"$218,774","$218,774",100%,-,-,2018.csv,2018
542,Dark Money,"$217,932","$217,932",100%,-,-,2018.csv,2018
543,Getting Grace,"$217,812","$217,812",100%,-,-,2018.csv,2018
544,The Treasure of the Sierra Madre,"$215,295","$215,295",100%,-,-,2018.csv,2018
545,Agent Mr. Chan,"$208,351","$208,351",100%,-,-,2018.csv,2018
546,The Dating Project,"$208,100","$208,100",100%,-,-,2018.csv,2018
547,Heading Home: The Tale of Team Israel,"$207,533","$207,533",100%,-,-,2018.csv,2018
548,Keep the Change,"$202,788","$202,788",100%,-,-,2018.csv,2018
549,The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217","$202,217",100%,-,-,2018.csv,2018
550,Gemini,"$200,340","$200,340",100%,-,-,2018.csv,2018
551,Rebel Without a Cause 2018 Re-release,"$199,963","$199,963",100%,-,-,2018.csv,2018
552,Madeline's Madeline,"$197,309","$185,576",94.1%,"$11,733",5.9%,2018.csv,2018
553,Have It All -The Movie,"$197,142","$197,142",100%,-,-,2018.csv,2018
554,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517","$166,616",85.2%,"$28,901",14.8%,2018.csv,2018
555,Claire's Camera,"$191,980","$83,418",43.5%,"$108,562",56.5%,2018.csv,2018
556,Harry Potter and the Goblet of Fire 2018 Re-release,"$188,716","$188,716",100%,-,-,2018.csv,2018
557,The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946","$187,946",100%,-,-,2018.csv,2018
