Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
60,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%,2018.csv,2018
61,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%,2018.csv,2018
62,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%,2018.csv,2018
63,Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%,2018.csv,2018
64,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,2018.csv,2018
65,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,2018.csv,2018
66,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%,2018.csv,2018
67,Blumhouse's Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%,2018.csv,2018
68,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%,2018.csv,2018
69,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%,2018.csv,2018
70,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%,2018.csv,2018
71,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,2018.csv,2018
72,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%,2018.csv,2018
73,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%,2018.csv,2018
74,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%,2018.csv,2018
75,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%,2018.csv,2018
76,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%,2018.csv,2018
77,I Can Only Imagine,"$86,026,201","$83,482,352",97%,"$2,543,849",3%,2018.csv,2018
78,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%,2018.csv,2018
79,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%,2018.csv,2018
80,Hereditary,"$80,239,658","$44,069,456",54.9%,"$36,170,202",45.1%,2018.csv,2018
81,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%,2018.csv,2018
82,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%,2018.csv,2018
83,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%,2018.csv,2018
84,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%,2018.csv,2018
85,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%,2018.csv,2018
86,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%,2018.csv,2018
87,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%,2018.csv,2018
88,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%,2018.csv,2018
89,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%,2018.csv,2018
90,Shoplifters,"$67,998,954","$3,313,513",4.9%,"$64,685,441",95.1%,2018.csv,2018
91,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,2018.csv,2018
92,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%,2018.csv,2018
93,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%,2018.csv,2018
94,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%,2018.csv,2018
95,Capernaum,"$64,413,178","$1,661,096",2.6%,"$62,752,082",97.4%,2018.csv,2018
96,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%,2018.csv,2018
97,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,2018.csv,2018
98,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%,2018.csv,2018
99,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%,2018.csv,2018
100,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%,2018.csv,2018
101,Teen Titans GO! to the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%,2018.csv,2018
102,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%,2018.csv,2018
103,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%,2018.csv,2018
104,Once Upon a Deadpool 2018 Re-release,"$51,247,568","$6,100,309",11.9%,"$45,147,259",88.1%,2018.csv,2018
105,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%,2018.csv,2018
106,Andhadhun,"$49,391,206","$1,193,046",2.4%,"$48,198,160",97.6%,2018.csv,2018
107,Golden Job,"$47,279,677","$285,795",0.6%,"$46,993,882",99.4%,2018.csv,2018
108,Mary Queen of Scots,"$46,710,283","$16,468,499",35.3%,"$30,241,784",64.7%,2018.csv,2018
109,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%,2018.csv,2018
110,Tyler Perry's Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%,2018.csv,2018
111,Asterix: The Secret of the Magic Potion,"$46,221,204","$1,271,953",2.8%,"$44,949,251",97.2%,2018.csv,2018
112,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%,2018.csv,2018
113,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%,2018.csv,2018
114,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%,2018.csv,2018
115,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%,2018.csv,2018
116,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%,2018.csv,2018
117,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%,2018.csv,2018
118,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%,2018.csv,2018
119,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%,2018.csv,2018
120,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%,2018.csv,2018
121,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%,2018.csv,2018
122,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%,2018.csv,2018
123,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%,2018.csv,2018
124,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%,2018.csv,2018
125,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%,2018.csv,2018
126,Mia and the White Lion,"$35,906,887","$399,471",1.1%,"$35,507,416",98.9%,2018.csv,2018
127,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%,2018.csv,2018
128,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%,2018.csv,2018
129,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%,2018.csv,2018
130,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%,2018.csv,2018
131,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%,2018.csv,2018
132,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%,2018.csv,2018
133,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%,2018.csv,2018
134,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%,2018.csv,2018
135,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%,2018.csv,2018
136,Free Solo,"$29,318,861","$17,541,090",59.8%,"$11,777,771",40.2%,2018.csv,2018
137,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%,2018.csv,2018
138,Default,"$27,709,716","$203,775",0.7%,"$27,505,941",99.3%,2018.csv,2018
139,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%,2018.csv,2018
140,Mirai,"$27,526,961","$812,794",3%,"$26,714,167",97%,2018.csv,2018
141,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%,2018.csv,2018
142,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%,2018.csv,2018
143,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%,2018.csv,2018
144,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%,2018.csv,2018
145,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%,2018.csv,2018
146,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%,2018.csv,2018
147,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%,2018.csv,2018
148,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%,2018.csv,2018
149,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%,2018.csv,2018
150,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%,2018.csv,2018
151,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%,2018.csv,2018
152,Won't You Be My Neighbor?,"$22,842,400","$22,835,787",100%,"$6,613",<0.1%,2018.csv,2018
153,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%,2018.csv,2018
154,Big Brother,"$22,029,250","$85,624",0.4%,"$21,943,626",99.6%,2018.csv,2018
155,Master Z: The Ip Man Legacy,"$21,832,649","$209,454",1%,"$21,623,195",99%,2018.csv,2018
