Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
860,How To Talk To Girls at Parties,385733,84809,300924,2018.csv,2018,22%,78%
861,The Secret World of Arrietty 2019 Re-release,384289,384289,0,2019.csv,2019,100%,-
862,Flower,380553,328188,52365,2018.csv,2018,86.2%,13.8%
863,Jane and Emma,380030,380030,0,2018.csv,2018,100%,-
864,Daughter of Mine,379010,10628,368382,2018.csv,2018,2.8%,97.2%
865,Attack on Titan: Smoke Signal,377334,377334,0,2018.csv,2018,100%,-
866,The Dark Knight 2018 Re-release,375589,375589,0,2018.csv,2018,100%,-
867,The Metropolitan Opera HD Live: Puccini: Turandot,375295,0,375295,2019.csv,2019,-,100%
868,Jurassic Park 2018 Re-release,374238,374238,0,2018.csv,2018,100%,-
869,Pom Poko 2018 Re-release,372405,372405,0,2018.csv,2018,100%,-
870,"Ruben Brandt, Collector 2018 Re-release",369809,117963,251846,2018.csv,2018,31.9%,68.1%
871,Ghostbusters 2019 Re-release,369612,369612,0,2019.csv,2019,100%,-
872,INXS: Baby Live at Wembly Stadium,366425,161750,204675,2019.csv,2019,44.1%,55.9%
873,First Love,366247,218329,147918,2019.csv,2019,59.6%,40.4%
874,Lords of Chaos,365353,253184,112169,2019.csv,2019,69.3%,30.7%
875,Clemency,364716,364716,0,2019.csv,2019,100%,-
876,K-12,359377,303230,56147,2019.csv,2019,84.4%,15.6%
877,The Shawshank Redemption 2019 Re-release,358507,358507,0,2019.csv,2019,100%,-
878,The Tomorrow Man,354103,354103,0,2019.csv,2019,100%,-
879,The Wizard of Oz 2018 Re-release,351839,351839,0,2018.csv,2018,100%,-
880,Bel Canto,350264,125569,224695,2018.csv,2018,35.8%,64.2%
881,Suicide the Ripple Effect,347468,347468,0,2018.csv,2018,100%,-
882,Star Trek 2019 Re-release,346243,346243,0,2019.csv,2019,100%,-
883,Triple Threat,345900,76289,269611,2019.csv,2019,22.1%,77.9%
884,Nureyev: Lifting the Curtain,342255,165203,177052,2018.csv,2018,48.3%,51.7%
885,Knife + Heart,341847,32516,309331,2018.csv,2018,9.5%,90.5%
886,Bolshoi Ballet: Swan Lake,341058,88905,252153,2018.csv,2018,26.1%,73.9%
887,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,338632,271489,67143,2019.csv,2019,80.2%,19.8%
888,Silencio,338596,158723,179873,2018.csv,2018,46.9%,53.1%
889,Diane,336166,336166,0,2019.csv,2019,100%,-
890,Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,335697,335697,0,2018.csv,2018,100%,-
891,Freaks,335050,276591,58459,2019.csv,2019,82.6%,17.4%
892,Russ Taff: I Still Believe,334983,334983,0,2018.csv,2018,100%,-
893,Anthropocene: The Human Epoch,334162,104806,229356,2019.csv,2019,31.4%,68.6%
894,A Silent Voice: The Movie 2019 Re-release,333984,333984,0,2019.csv,2019,100%,-
895,Shine,333388,333388,0,2018.csv,2018,100%,-
896,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,328979,328979,0,2019.csv,2019,100%,-
897,Lucy in the Sky,325950,319976,5974,2019.csv,2019,98.2%,1.8%
898,The Opera House,325235,320079,5156,2018.csv,2018,98.4%,1.6%
899,Teefa In Trouble,324633,0,324633,2018.csv,2018,-,100%
900,The Bolshoi Ballet: Live From Moscow - The Nutcracker,323928,323928,0,2018.csv,2018,100%,-
901,The Cured,323776,26630,297146,2018.csv,2018,8.2%,91.8%
902,Sword of Trust,323369,322421,948,2019.csv,2019,99.7%,0.3%
903,Damsel,323235,305136,18099,2018.csv,2018,94.4%,5.6%
904,Woodstock,320610,126562,194048,2019.csv,2019,39.5%,60.5%
905,Cunningham,320293,265102,55191,2019.csv,2019,82.8%,17.2%
906,Meeting Gorbachev,319230,251837,67393,2019.csv,2019,78.9%,21.1%
907,You Are Here: A Come From Away Story,318885,318885,0,2019.csv,2019,100%,-
908,Ask Dr. Ruth,318230,297195,21035,2019.csv,2019,93.4%,6.6%
909,Sauvage / Wild,317536,61604,255932,2018.csv,2018,19.4%,80.6%
910,The Riot and the Dance,316103,316103,0,2018.csv,2018,100%,-
911,Josh Groban Bridges from Madison Square Garden,315173,315173,0,2019.csv,2019,100%,-
912,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,313088,313088,0,2018.csv,2018,100%,-
913,Bolshoi Ballet: The Sleeping Beauty,311368,311368,0,2019.csv,2019,100%,-
914,Plácido Domingo Gala,311246,52502,258744,2019.csv,2019,16.9%,83.1%
915,MET Opera: Magic Flute,307686,307686,0,2018.csv,2018,100%,-
916,The Mercy 2018 Re-release,306205,29538,276667,2018.csv,2018,9.6%,90.4%
917,The Third Wife,305755,84933,220822,2019.csv,2019,27.8%,72.2%
918,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,304482,304482,0,2018.csv,2018,100%,-
919,The Bolshoi Ballet: Live From Moscow - Giselle,302681,302681,0,2018.csv,2018,100%,-
920,Cliffs of Freedom,300842,72476,228366,2019.csv,2019,24.1%,75.9%
921,Sunset Blvd. 2018 Re-release,299645,299645,0,2018.csv,2018,100%,-
922,Harry Potter and the Sorcerer's Stone 2018 Re-release,295917,295917,0,2018.csv,2018,100%,-
923,Shakira in Concert: El Dorado World Tour,294677,271586,23091,2019.csv,2019,92.2%,7.8%
924,Okko's Inn,293385,134787,158598,2018.csv,2018,45.9%,54.1%
925,The Giant Spider Invasion,293053,293053,0,2019.csv,2019,100%,-
926,More Than Funny,290498,290498,0,2018.csv,2018,100%,-
927,Best F(r)iends: Volume 1,290064,252410,37654,2018.csv,2018,87%,13%
928,The Zoya Factor,289631,128831,160800,2019.csv,2019,44.5%,55.5%
929,The Silence of Others,289455,67986,221469,2018.csv,2018,23.5%,76.5%
930,"A White, White Day",288708,0,288708,2019.csv,2019,-,100%
931,Saga of Tanya the Evil - The Movie,288460,288460,0,2019.csv,2019,100%,-
932,Generation Wealth,287709,237709,50000,2018.csv,2018,82.6%,17.4%
933,Skate Kitchen,287307,236799,50508,2018.csv,2018,82.4%,17.6%
934,Time Freak,285416,10003,275413,2018.csv,2018,3.5%,96.5%
935,But Deliver Us from Evil,285169,285169,0,2018.csv,2018,100%,-
936,Khalid: Free Spirit,284229,284229,0,2019.csv,2019,100%,-
937,Disney's Newsies: The Broadway Musical! 2018 Re-release,282429,282429,0,2018.csv,2018,100%,-
938,Mike Wallace Is Here,281245,281245,0,2019.csv,2019,100%,-
939,Octaman,280710,280710,0,2019.csv,2019,100%,-
940,Forrest Gump 2019 Re-release,280266,203088,77178,2019.csv,2019,72.5%,27.5%
941,Namaste England,279934,104156,175778,2018.csv,2018,37.2%,62.8%
942,Wonders of the Sea,279415,100780,178635,2018.csv,2018,36.1%,63.9%
943,Science Fair,277338,276195,1143,2018.csv,2018,99.6%,0.4%
944,See You Soon,277126,0,277126,2019.csv,2019,-,100%
945,True Grit 2019 Re-release,276418,276418,0,2019.csv,2019,100%,-
946,The King,273601,259291,14310,2018.csv,2018,94.8%,5.2%
947,Slayer: The Repentless Killogy,272874,268727,4147,2019.csv,2019,98.5%,1.5%
948,One Child Nation,271841,270128,1713,2019.csv,2019,99.4%,0.6%
949,The World Before Your Feet,268644,268644,0,2018.csv,2018,100%,-
950,Luzia: Cirque du Soleil in Cinema,265673,265673,0,2019.csv,2019,100%,-
951,Out of Liberty,265279,265279,0,2019.csv,2019,100%,-
952,Asbury Park: Riot Redemption Rock 'n Roll,264983,167684,97299,2019.csv,2019,63.3%,36.7%
953,Doctor Who,264629,264629,0,2018.csv,2018,100%,-
954,The Producers 2018 Re-release,263277,216807,46470,2018.csv,2018,82.3%,17.7%
955,The Final Year,262286,191900,70386,2018.csv,2018,73.2%,26.8%
956,Eating You Alive,260534,260534,0,2018.csv,2018,100%,-
957,Her Smell,260481,255599,4882,2019.csv,2019,98.1%,1.9%
958,Star Raiders: The Adventures of Saber Raine,260234,260234,0,2019.csv,2019,100%,-
959,The Cave,258921,62625,196296,2019.csv,2019,24.2%,75.8%
960,Across the Universe 2018 Re-release,258618,258618,0,2018.csv,2018,100%,-
961,Big 2018 Re-release,258507,258507,0,2018.csv,2018,100%,-
962,Helicopter Eela,256952,71971,184981,2018.csv,2018,28%,72%
963,I Got the Hook Up 2,252293,252293,0,2019.csv,2019,100%,-
964,Canal Street,251917,251917,0,2019.csv,2019,100%,-
965,The Twilight Zone: A 60th Anniversary Celebration,248514,248514,0,2019.csv,2019,100%,-
966,Doctor Who: The End of Time: Part One,247798,247798,0,2019.csv,2019,100%,-
967,Hot Summer Nights,246133,0,246133,2018.csv,2018,-,100%
968,Harry Potter and the Chamber of Secrets 2018 Re-release,245501,245501,0,2018.csv,2018,100%,-
969,American Woman,245416,236637,8779,2019.csv,2019,96.4%,3.6%
970,The Fireflies Are Gone,245006,245006,0,2018.csv,2018,100%,-
971,Out of Blue,242847,18779,224068,2019.csv,2019,7.7%,92.3%
972,Play the Flute,241251,241251,0,2019.csv,2019,100%,-
973,Dark River,239182,7714,231468,2018.csv,2018,3.2%,96.8%
974,311 Enlarged to Show Detail 3,238791,238791,0,2019.csv,2019,100%,-
975,RWBY: Argus Limited,238379,238379,0,2018.csv,2018,100%,-
976,Alien Intrusion: Unmasking a Deception,237411,237411,0,2018.csv,2018,100%,-
977,India's Most Wanted,235351,176858,58493,2019.csv,2019,75.1%,24.9%
978,Diamantino,235041,70088,164953,2018.csv,2018,29.8%,70.2%
979,Blind Eyes Opened,234505,234505,0,2020.csv,2020,100%,-
980,Varda by Agnès,233809,160765,73044,2019.csv,2019,68.8%,31.2%
981,Superman 2018 Re-release,233585,233585,0,2018.csv,2018,100%,-
982,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,232973,232973,0,2019.csv,2019,100%,-
983,Bishôjo senshi Sailor Moon Super S Special,231434,231434,0,2018.csv,2018,100%,-
984,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,230703,230703,0,2019.csv,2019,100%,-
985,"Belle and Sebastian, Friends for Life 2018 Re-release",229983,105890,124093,2018.csv,2018,46%,54%
986,Ophelia,229405,50722,178683,2019.csv,2019,22.1%,77.9%
987,Studio 54,227062,199767,27295,2018.csv,2018,88%,12%
988,Mine 9,226421,226421,0,2019.csv,2019,100%,-
989,Millennium Actress 2019 Re-release,225250,225250,0,2019.csv,2019,100%,-
990,Extra Ordinary,223898,164346,59552,2019.csv,2019,73.4%,26.6%
991,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,223858,223858,0,2019.csv,2019,100%,-
992,BuyBust,223720,178471,45249,2018.csv,2018,79.8%,20.2%
993,Never Surrender: A Galaxy Quest Documentary,222971,222971,0,2019.csv,2019,100%,-
994,Little Pink House,220948,220948,0,2018.csv,2018,100%,-
995,The Metropolitan Opera HD Live: Puccini: Turandot,219619,172627,46992,2018.csv,2018,78.6%,21.4%
996,Fragments of Truth,219342,219342,0,2018.csv,2018,100%,-
997,Harry Potter and the Prisoner of Azkaban 2018 Re-release,218774,218774,0,2018.csv,2018,100%,-
998,Dark Money,217932,217932,0,2018.csv,2018,100%,-
999,Getting Grace,217812,217812,0,2018.csv,2018,100%,-
1000,The Karate Kid 2019 Re-release,215447,215447,0,2019.csv,2019,100%,-
1001,The Treasure of the Sierra Madre,215295,215295,0,2018.csv,2018,100%,-
1002,Hamlet 2019 Re-release,214578,214578,0,2019.csv,2019,100%,-
1003,Tigers Are Not Afraid 2019 Re-release,210138,175559,34579,2019.csv,2019,83.5%,16.5%
1004,"Faith, Hope & Love",210091,210091,0,2019.csv,2019,100%,-
1005,Kathy Griffin: A Hell of a Story,208907,208907,0,2019.csv,2019,100%,-
1006,Agent Mr. Chan,208351,208351,0,2018.csv,2018,100%,-
1007,The Dating Project,208100,208100,0,2018.csv,2018,100%,-
1008,Batman 2019 Re-release,207901,159419,48482,2019.csv,2019,76.7%,23.3%
1009,Heading Home: The Tale of Team Israel,207533,207533,0,2018.csv,2018,100%,-
1010,The Iron Orchard,204881,204881,0,2019.csv,2019,100%,-
1011,Working Woman,204727,64048,140679,2019.csv,2019,31.3%,68.7%
1012,Hesburgh,204709,204709,0,2019.csv,2019,100%,-
1013,Keep the Change,202788,202788,0,2018.csv,2018,100%,-
1014,The Bolshoi Ballet: Live From Moscow - Coppélia,202217,202217,0,2018.csv,2018,100%,-
1015,Blink of an Eye,201874,201874,0,2019.csv,2019,100%,-
1016,Zombi Child,200909,25878,175031,2019.csv,2019,12.9%,87.1%
1017,Gemini,200340,200340,0,2018.csv,2018,100%,-
1018,Rebel Without a Cause 2018 Re-release,199963,199963,0,2018.csv,2018,100%,-
1019,Madeline's Madeline,197309,185576,11733,2018.csv,2018,94.1%,5.9%
1020,Have It All -The Movie,197142,197142,0,2018.csv,2018,100%,-
1021,Little Joe,196960,23862,173098,2019.csv,2019,12.1%,87.9%
1022,Buñuel in the Labyrinth of the Turtles,196456,36205,160251,2019.csv,2019,18.4%,81.6%
1023,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,195517,166616,28901,2018.csv,2018,85.2%,14.8%
1024,Family,194601,194601,0,2019.csv,2019,100%,-
1025,Mr. Klein,193028,193028,0,2019.csv,2019,100%,-
1026,Claire's Camera,191980,83418,108562,2018.csv,2018,43.5%,56.5%
1027,The Divine Plan,190031,190031,0,2019.csv,2019,100%,-
1028,Harry Potter and the Goblet of Fire 2018 Re-release,188716,188716,0,2018.csv,2018,100%,-
1029,The Bolshoi Ballet: Live From Moscow - Don Quixote,187946,187946,0,2018.csv,2018,100%,-
1030,Owaranai hito: Miyazaki Hayao,187320,187320,0,2018.csv,2018,100%,-
1031,Twiceland,186078,52874,133204,2018.csv,2018,28.4%,71.6%
1032,National Theatre Live: King Lear,185305,185305,0,2018.csv,2018,100%,-
1033,Cobra Kai Premiere Event feat. The Karate Kid,185082,185082,0,2018.csv,2018,100%,-
1034,To Dust,184495,184495,0,2019.csv,2019,100%,-
1035,The River and the Wall,183602,183602,0,2019.csv,2019,100%,-
1036,Shock and Awe,182415,77980,104435,2018.csv,2018,42.7%,57.3%
1037,Harry Potter and the Deathly Hallows: Part 2 2018 Re-release,181938,181938,0,2018.csv,2018,100%,-
1038,Giant Little Ones,181507,181507,0,2019.csv,2019,100%,-
1039,Rafiki,181316,137968,43348,2019.csv,2019,76.1%,23.9%
1040,Walking on Water,178119,102140,75979,2019.csv,2019,57.3%,42.7%
1041,Modest Heroes,178027,178027,0,2019.csv,2019,100%,-
1042,The Warrior Queen of Jhansi,177289,177289,0,2019.csv,2019,100%,-
1043,"Iyengar: The Man, Yoga, and the Student's Journey",176387,176387,0,2019.csv,2019,100%,-
1044,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,175922,175922,0,2018.csv,2018,100%,-
1045,Always at The Carlyle,174251,174251,0,2018.csv,2018,100%,-
1046,Them That Follow,172952,159218,13734,2019.csv,2019,92.1%,7.9%
1047,Bolshoi Ballet: The Golden Age,171916,171916,0,2019.csv,2019,100%,-
1048,Little Woods,171912,150010,21902,2019.csv,2019,87.3%,12.7%
1049,The Bolshoi Ballet: Live From Moscow - La Sylphide,171177,171177,0,2018.csv,2018,100%,-
1050,Palau the Movie,171155,134696,36459,2019.csv,2019,78.7%,21.3%
1051,Britt-Marie Was Here,168862,36549,132313,2019.csv,2019,21.6%,78.4%
1052,Girls of the Sun,168771,19712,149059,2018.csv,2018,11.7%,88.3%
1053,The Clovehitch Killer,167994,8208,159786,2018.csv,2018,4.9%,95.1%
1054,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,167991,167991,0,2018.csv,2018,100%,-
1055,Is Genesis History? 2018 Re-release,166763,166763,0,2018.csv,2018,100%,-
1056,Far From the Tree,166018,166018,0,2018.csv,2018,100%,-
1057,Bright Ones,165627,165627,0,2019.csv,2019,100%,-
1058,The Chambermaid,164531,86422,78109,2019.csv,2019,52.5%,47.5%
1059,Lost & Found,164026,125173,38853,2018.csv,2018,76.3%,23.7%
1060,Halston,163446,151991,11455,2019.csv,2019,93%,7%
1061,The Samuel Project,161565,161565,0,2018.csv,2018,100%,-
1062,Lu Over the Wall,161253,109857,51396,2018.csv,2018,68.1%,31.9%
1063,"Diana Ross: Her Life, Love and Legacy",160968,160968,0,2019.csv,2019,100%,-
1064,National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release,160381,160381,0,2018.csv,2018,100%,-
1065,The Last Resort,158646,158646,0,2018.csv,2018,100%,-
1066,Money,155732,155732,0,2019.csv,2019,100%,-
1067,Western,155215,41072,114143,2018.csv,2018,26.5%,73.5%
1068,Bad Reputation,154190,148568,5622,2018.csv,2018,96.4%,3.6%
1069,Eating Animals,153993,149614,4379,2018.csv,2018,97.2%,2.8%
1070,The Tag Along: Devil Fish,153895,20726,133169,2018.csv,2018,13.5%,86.5%
1071,"Buttons, A New Musical Film",151983,151983,0,2018.csv,2018,100%,-
1072,Before You Know It,151507,151507,0,2019.csv,2019,100%,-
1073,Jay Myself,151331,151331,0,2019.csv,2019,100%,-
1074,Glory 2019 Re-release,150801,150801,0,2019.csv,2019,100%,-
1075,Piercing,149211,15856,133355,2019.csv,2019,10.6%,89.4%
1076,The Kingmaker,148611,122587,26024,2019.csv,2019,82.5%,17.5%
1077,Trial by Fire,148504,148504,0,2019.csv,2019,100%,-
1078,War and Peace,148503,148503,0,2019.csv,2019,100%,-
1079,Harry Potter and the Deathly Hallows: Part 1 2018 Re-release,148263,148263,0,2018.csv,2018,100%,-
1080,Night of the Living Dead 2018 Re-release,147423,147423,0,2018.csv,2018,100%,-
1081,Driven,147172,0,147172,2019.csv,2019,-,100%
1082,Hannah,146325,11700,134625,2018.csv,2018,8%,92%
1083,Citizen K,145941,120411,25530,2019.csv,2019,82.5%,17.5%
1084,Framing John DeLorean,145625,145625,0,2019.csv,2019,100%,-
1085,Mr. Smith Goes to Washington 2018 Re-release,144738,144738,0,2018.csv,2018,100%,-
1086,The Price of Everything,144446,87400,57046,2018.csv,2018,60.5%,39.5%
1087,Doctor Who: Logopolis,143248,143248,0,2019.csv,2019,100%,-
1088,Aiyaary,143108,0,143108,2018.csv,2018,-,100%
1089,Best F(r)iends Volume Two,141524,141524,0,2018.csv,2018,100%,-
1090,Branagh Theatre Live: The Winter's Tale,141143,141143,0,2019.csv,2019,100%,-
1091,Canelo vs. Kovalev,140820,140820,0,2019.csv,2019,100%,-
1092,Support the Girls,139550,129124,10426,2018.csv,2018,92.5%,7.5%
1093,Burden,139270,139270,0,2020.csv,2020,100%,-
1094,Wilder vs. Ortiz,139207,139207,0,2019.csv,2019,100%,-
1095,Head Full of Honey,138844,12350,126494,2018.csv,2018,8.9%,91.1%
1096,The Brawler,138515,75929,62586,2018.csv,2018,54.8%,45.2%
1097,Who Will Write Our History,138039,138039,0,2019.csv,2019,100%,-
1098,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,137888,137888,0,2019.csv,2019,100%,-
1099,Mantra: Sounds Into Silence,135684,115013,20671,2018.csv,2018,84.8%,15.2%
1100,Sonchiriya,135413,86765,48648,2019.csv,2019,64.1%,35.9%
1101,The Other Story,135191,135191,0,2019.csv,2019,100%,-
1102,Another Day of Life,134801,3190,131611,2018.csv,2018,2.4%,97.6%
1103,Made in Abyss: Journey's Dawn,134194,134047,147,2019.csv,2019,99.9%,0.1%
1104,Be Natural: The Untold Story of Alice Guy-Blaché,133183,115265,17918,2019.csv,2019,86.5%,13.5%
1105,Harry Potter and the Order of the Phoenix 2018 Re-release,132522,132522,0,2018.csv,2018,100%,-
1106,Rudy 2018 Re-release,131200,131200,0,2018.csv,2018,100%,-
1107,The Wind,130974,28252,102722,2019.csv,2019,21.6%,78.4%
1108,Mister America,130897,130897,0,2019.csv,2019,100%,-
1109,The Image Book,130802,94153,36649,2018.csv,2018,72%,28%
1110,Saheb Biwi Aur Gangster 3,130403,0,130403,2018.csv,2018,-,100%
1111,Little Monsters,130381,0,130381,2019.csv,2019,-,100%
1112,Five Seasons: The Gardens of Piet Oudolf,130319,119223,11096,2018.csv,2018,91.5%,8.5%
1113,Harry Potter and the Half-Blood Prince 2018 Re-release,130081,130081,0,2018.csv,2018,100%,-
1114,Section 375,129916,0,129916,2019.csv,2019,-,100%
1115,The Metropolitan Opera HD Live: Puccini: Madama Butterfly,129730,129730,0,2018.csv,2018,100%,-
1116,The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin 2018 Re-release,129498,129498,0,2018.csv,2018,100%,-
1117,The Metropolitan Opera HD Live: Verdi: Il Trovatore,129393,129393,0,2018.csv,2018,100%,-
1118,Where Hands Touch,128269,67743,60526,2018.csv,2018,52.8%,47.2%
1119,Sleepless in Seattle 2018 Re-release,127281,127281,0,2018.csv,2018,100%,-
1120,The Great Buster,125807,118344,7463,2018.csv,2018,94.1%,5.9%
1121,Paris Is Burning 2019 Re-release,125677,125677,0,2019.csv,2019,100%,-
1122,This Changes Everything,125348,64988,60360,2019.csv,2019,51.8%,48.2%
1123,Mary Magdalene 2019 Re-release,124741,124741,0,2019.csv,2019,100%,-
1124,Hymn: Sarah Brightman In Concert,124707,113274,11433,2018.csv,2018,90.8%,9.2%
1125,'85: The Greatest Team in Football History,124573,124573,0,2018.csv,2018,100%,-
1126,Wings of Desire 2018 Re-release,123830,123830,0,2018.csv,2018,100%,-
1127,Easy Rider 2019 Re-release,123276,123276,0,2019.csv,2019,100%,-
1128,Blood Fest,122833,82774,40059,2018.csv,2018,67.4%,32.6%
1129,"14 Days, 12 Nights",122806,122530,276,2020.csv,2020,99.8%,0.2%
1130,Tremors,121813,23911,97902,2019.csv,2019,19.6%,80.4%
1131,A Tuba to Cuba,121772,121772,0,2019.csv,2019,100%,-
1132,Yu-Gi-Oh!: The Movie - Pyramid of Light 2018 Re-release,121688,121688,0,2018.csv,2018,100%,-
1133,Love After Love,121098,121098,0,2018.csv,2018,100%,-
1134,Avant qu'on explose,119894,119894,0,2019.csv,2019,100%,-
1135,Styx 2018 Re-release,118188,70794,47394,2018.csv,2018,59.9%,40.1%
1136,Bisbee '17,117470,117470,0,2018.csv,2018,100%,-
1137,George Takei's Allegiance 2018 Re-release,117162,117162,0,2018.csv,2018,100%,-
1138,Skin,116863,0,116863,2019.csv,2019,-,100%
1139,Mob Psycho 100,115766,115766,0,2019.csv,2019,100%,-
1140,Nostalgia,114603,114603,0,2018.csv,2018,100%,-
1141,John McEnroe: In the Realm of Perfection,114289,90964,23325,2018.csv,2018,79.6%,20.4%
1142,Bodied,113956,113956,0,2018.csv,2018,100%,-
1143,The Woman Who Loves Giraffes,113858,113858,0,2019.csv,2019,100%,-
1144,Police Story,113164,113164,0,2019.csv,2019,100%,-
1145,Filmworker,112828,102609,10219,2018.csv,2018,90.9%,9.1%
1146,A Boy. A Girl. A Dream.,112552,112552,0,2018.csv,2018,100%,-
1147,"Hale County This Morning, This Evening",112282,112282,0,2018.csv,2018,100%,-
1148,The Dawn Wall,112191,112191,0,2018.csv,2018,100%,-
1149,A Chance in the World - Premiere,112007,112007,0,2018.csv,2018,100%,-
1150,A Paris Education,111197,21598,89599,2018.csv,2018,19.4%,80.6%
1151,Babylon,109749,109749,0,2019.csv,2019,100%,-
1152,Red Sorghum,108371,0,108371,2018.csv,2018,-,100%
1153,"No Date, No Signature",107368,36444,70924,2018.csv,2018,33.9%,66.1%
1154,National Theatre Live: Julius Caesar,107057,107057,0,2018.csv,2018,100%,-
1155,The Charmer,106379,26167,80212,2018.csv,2018,24.6%,75.4%
1156,The Brink,106057,106057,0,2019.csv,2019,100%,-
1157,Never Heard,105271,105271,0,2018.csv,2018,100%,-
1158,Cold Case Hammarskjöld,104965,104965,0,2019.csv,2019,100%,-
1159,Andrei Rublev 2018 Re-release,102021,102021,0,2018.csv,2018,100%,-
1160,Hotel by the River,101879,28354,73525,2019.csv,2019,27.8%,72.2%
1161,Those Who Remained,101737,0,101737,2019.csv,2019,-,100%
1162,Kickboxer: Retaliation,101690,4537,97153,2018.csv,2018,4.5%,95.5%
1163,First Cow,101068,101068,0,2020.csv,2020,100%,-
1164,QT8: The First Eight,100396,51896,48500,2019.csv,2019,51.7%,48.3%
1165,All About Nina,100335,100335,0,2018.csv,2018,100%,-
1166,Heavy Water,99503,55446,44057,2019.csv,2019,55.7%,44.3%
1167,Meow Wolf: Origin Story,99488,99488,0,2018.csv,2018,100%,-
1168,High Strung Free Dance 2019 Re-release,98481,83891,14590,2019.csv,2019,85.2%,14.8%
1169,Reign of Judges: Title of Liberty - Concept Short,98408,93224,5184,2018.csv,2018,94.7%,5.3%
1170,Charlie Says,98240,40685,57555,2019.csv,2019,41.4%,58.6%
1171,National Theatre Live: Macbeth,97857,97857,0,2018.csv,2018,100%,-
1172,Prassthanam,97204,19984,77220,2019.csv,2019,20.6%,79.4%
1173,Godspeed: The Race Across America,96690,96690,0,2018.csv,2018,100%,-
1174,Saint Judy,96212,78935,17277,2019.csv,2019,82%,18%
1175,A Bigger Splash 2019 Re-release,95826,95826,0,2019.csv,2019,100%,-
1176,The Final Wish,95215,25183,70032,2019.csv,2019,26.4%,73.6%
1177,The Night Eats the World,95208,0,95208,2018.csv,2018,-,100%
1178,Papi Chulo,94321,84703,9618,2019.csv,2019,89.8%,10.2%
1179,Let the Corpses Tan,93409,93409,0,2018.csv,2018,100%,-
1180,Nancy,92000,80115,11885,2018.csv,2018,87.1%,12.9%
1181,Mapplethorpe,91002,91002,0,2019.csv,2019,100%,-
1182,BANDSTAND: The Broadway Musical on Screen 2018 Re-release,91000,91000,0,2018.csv,2018,100%,-
1183,Yuri!!! On Ice,90751,81878,8873,2018.csv,2018,90.2%,9.8%
1184,Loopers: The Caddie's Long Walk,90679,90679,0,2019.csv,2019,100%,-
1185,Minding the Gap,90328,11998,78330,2018.csv,2018,13.3%,86.7%
1186,Running for Grace,89988,89988,0,2018.csv,2018,100%,-
1187,Cat on a Hot Tin Roof,89332,89332,0,2018.csv,2018,100%,-
1188,The Lumber Baron,88336,88336,0,2019.csv,2019,100%,-
1189,Jim Allison: Breakthrough,87984,87984,0,2019.csv,2019,100%,-
1190,Goldstone 2018 Re-release,87639,87639,0,2018.csv,2018,100%,-
1191,ECCO,86858,86858,0,2019.csv,2019,100%,-
1192,Vault,86741,29491,57250,2019.csv,2019,34%,66%
1193,Beuys,86451,65410,21041,2018.csv,2018,75.7%,24.3%
1194,Skid Row Marathon,84997,84997,0,2019.csv,2019,100%,-
1195,Woodstock,84440,84440,0,2019.csv,2019,100%,-
1196,"Nico, 1988",83558,73304,10254,2018.csv,2018,87.7%,12.3%
1197,Doctor Who: The Woman Who Fell to Earth,82698,82698,0,2018.csv,2018,100%,-
1198,Prey,82258,0,82258,2019.csv,2019,-,100%
1199,Bhavesh Joshi Superhero,81792,57376,24416,2018.csv,2018,70.1%,29.9%
1200,Yomeddine,81030,11308,69722,2018.csv,2018,14%,86%
1201,Woman Walks Ahead,80912,57528,23384,2018.csv,2018,71.1%,28.9%
1202,Kind Hearts and Coronets 2019 Re-release,80795,35948,44847,2019.csv,2019,44.5%,55.5%
1203,Batman Returns 2019 Re-release,80699,70642,10057,2019.csv,2019,87.5%,12.5%
1204,Ms. Purple,80657,80657,0,2019.csv,2019,100%,-
1205,Armstrong,80169,19740,60429,2019.csv,2019,24.6%,75.4%
1206,En el séptimo día,79887,79887,0,2018.csv,2018,100%,-
1207,End of the Century,79607,66309,13298,2019.csv,2019,83.3%,16.7%
1208,Christ Stopped at Eboli,78736,78736,0,2019.csv,2019,100%,-
1209,The Boxcar Children - Surprise Island,78676,78676,0,2018.csv,2018,100%,-
1210,Un traductor,78075,13509,64566,2018.csv,2018,17.3%,82.7%
1211,Parchi,77110,69431,7679,2018.csv,2018,90%,10%
