Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
588,Luce,2268204,2010613,257591,2019.csv,2019,88.6%,11.4%
589,Puzzle,2260946,2032018,228928,2018.csv,2018,89.9%,10.1%
590,An Interview with God,2251795,1201434,1050361,2018.csv,2018,53.4%,46.6%
591,At War,2235052,4605,2230447,2018.csv,2018,0.2%,99.8%
592,3 Faces,2191516,72324,2119192,2018.csv,2018,3.3%,96.7%
593,Maria By Callas 2018 Re-release,2185562,1267301,918261,2018.csv,2018,58%,42%
594,Border,2177678,771930,1405748,2018.csv,2018,35.4%,64.6%
595,Gone with the Wind 2019 Re-release,2176120,2176120,0,2019.csv,2019,100%,-
596,Veere Di Wedding,2176099,0,2176099,2018.csv,2018,-,100%
597,High Life,2133033,1225852,907181,2018.csv,2018,57.5%,42.5%
598,Indian Horse,2097362,2097362,0,2018.csv,2018,100%,-
599,Mary Shelley,2096600,108900,1987700,2018.csv,2018,5.2%,94.8%
600,The Wizard of Oz 2019 Re-release,2076020,2076020,0,2019.csv,2019,100%,-
601,Black '47,2073063,57520,2015543,2018.csv,2018,2.8%,97.2%
602,Under the Silver Lake,2053469,46083,2007386,2018.csv,2018,2.2%,97.8%
603,Raid,2031135,1010385,1020750,2018.csv,2018,49.7%,50.3%
604,Waves,2027629,1658790,368839,2019.csv,2019,81.8%,18.2%
605,Climax,2027391,817339,1210052,2018.csv,2018,40.3%,59.7%
606,Peterloo,1998945,151971,1846974,2018.csv,2018,7.6%,92.4%
607,The Metropolitan Opera HD Live: Verdi: La Traviata,1982588,1882931,99657,2018.csv,2018,95%,5%
608,Maquia: When the Promised Flower Blooms,1979604,185699,1793905,2018.csv,2018,9.4%,90.6%
609,42nd Street: The Musical,1967450,187440,1780010,2019.csv,2019,9.5%,90.5%
610,Beanpole,1950414,196258,1754156,2019.csv,2019,10.1%,89.9%
611,Luka Chuppi,1923586,1042905,880681,2019.csv,2019,54.2%,45.8%
612,The Pact,1855647,2488,1853159,2018.csv,2018,0.1%,99.9%
613,Fantastic Fungi,1849050,1788322,60728,2019.csv,2019,96.7%,3.3%
614,Sweet Country,1847693,104297,1743396,2018.csv,2018,5.6%,94.4%
615,The Little Stranger,1824902,713143,1111759,2018.csv,2018,39.1%,60.9%
616,The Seagull,1820461,1252960,567501,2018.csv,2018,68.8%,31.2%
617,The Other Side of Heaven 2: Fire of Faith,1807216,1807216,0,2019.csv,2019,100%,-
618,Moses,1807117,1807117,0,2018.csv,2018,100%,-
619,The Metropolitan Opera HD Live: Puccini: La Bohème,1764201,1764201,0,2018.csv,2018,100%,-
620,Trolls World Tour,1758185,0,1758185,2020.csv,2020,-,100%
621,The Metropolitan Opera HD Live: Massenet: Cendrillon,1747259,1243306,503953,2018.csv,2018,71.2%,28.8%
622,Beast,1744071,800365,943706,2018.csv,2018,45.9%,54.1%
623,A Faithful Man,1720605,77491,1643114,2018.csv,2018,4.5%,95.5%
624,The Souvenir,1719157,1036737,682420,2019.csv,2019,60.3%,39.7%
625,Invisible Life,1716237,146535,1569702,2019.csv,2019,8.5%,91.5%
626,Grease 2018 Re-release,1710727,1213413,497314,2018.csv,2018,70.9%,29.1%
627,Matthias & Maxime,1696938,374739,1322199,2019.csv,2019,22.1%,77.9%
628,The Wild Pear Tree,1696258,34014,1662244,2018.csv,2018,2%,98%
629,La femme de mon frère,1671969,539524,1132445,2019.csv,2019,32.3%,67.7%
630,Deerskin,1656279,0,1656279,2019.csv,2019,-,100%
631,Sorry Angel,1636273,30628,1605645,2018.csv,2018,1.9%,98.1%
632,Student of the Year 2,1635907,778566,857341,2019.csv,2019,47.6%,52.4%
633,I Still See You,1620637,1359,1619278,2018.csv,2018,<0.1%,99.9%
634,The Metropolitan Opera HD Live: Verdi: Aida,1595902,1595902,0,2018.csv,2018,100%,-
635,Made in India,1594164,790628,803536,2018.csv,2018,49.6%,50.4%
636,The Crossing,1589212,90896,1498316,2019.csv,2019,5.7%,94.3%
637,Teen Spirit,1573601,441366,1132235,2019.csv,2019,28%,72%
638,The Kid,1553483,1508593,44890,2019.csv,2019,97.1%,2.9%
639,Yardie,1551163,36012,1515151,2018.csv,2018,2.3%,97.7%
640,Tel Aviv on Fire,1548893,506145,1042748,2019.csv,2019,32.7%,67.3%
641,Mystery Train,1544973,1541218,3755,2018.csv,2018,99.8%,0.2%
642,The Chaperone,1541223,600654,940569,2019.csv,2019,39%,61%
643,Kedarnath,1538846,901131,637715,2018.csv,2018,58.6%,41.4%
644,Monos,1534584,406473,1128111,2019.csv,2019,26.5%,73.5%
645,Princess Mononoke 2018 Re-release,1519321,1423877,95444,2018.csv,2018,93.7%,6.3%
646,De De Pyaar De,1473116,425934,1047182,2019.csv,2019,28.9%,71.1%
